ID,Name,Link,City,Street,Opening,Postcode,Url Location,Wifi,Laptop Friendly,Pet Friendly,Latitude,Longitude
1,Cafēn,https://europeancoffeetrip.com/cafe/cafen-edinburgh/,Edinburgh,44 Dundas Street,Monday - Friday: 08:00-18:00|Saturday - Sunday: 08:00-18:00,EH3 6JN,,Free Wi-Fi,Laptop Friendly,Pet Friendly,55.9575709,-3.1997738
2,Outlier,https://europeancoffeetrip.com/cafe/outlier-glasgow/,Glasgow,38 London Rd ,Monday: Closed|Tuesday: 08:00-16:00|Wednesday: 08:00-16:00|Thursday: 08:00-16:00|Friday: 08:00-23:00|Saturday: 08:00-23:00|Sunday: 09:00-17:00,G1 5NB,,,,Pet Friendly,55.8560242,-4.2432051
3,Long & Short,https://europeancoffeetrip.com/cafe/longshort-london/,London,Unit 5 Crate Building 35 St James Street,Monday - Friday: 08:00-15:00|Saturday - Sunday: 09:00-16:00,E17 7FY,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.58063021666667,-0.032356583333333334
4,Yellow Warbler,https://europeancoffeetrip.com/cafe/yellowwarbler-london/,London,"9B Northwold Rd Cazenove,",Monday - Friday: 08:00-15:30|Saturday - Sunday: 08:00-16:00,N16 7HL,,,,,51.563251316666666,-0.0724045
5,Music And Beans,https://europeancoffeetrip.com/cafe/musicandbeans-london/,London,461 Green Lanes,Monday - Friday: 07:00-18:00|Saturday - Sunday: 07:30-18:00,N4 1HE,,,,,51.5798571,-0.0994161
6,Chief Coffee,https://europeancoffeetrip.com/cafe/chiefcoffee-london/,London,Turnham Green Terrace Mews Chiswick  ,Monday - Friday: 08:00-17:30|Saturday: 09:00-18:00|Sunday: 10:00-17:30,W4 1QU,,Free Wi-Fi,Laptop Friendly,Pet Friendly,51.49405293333333,-0.2547036
7,Bean + Brew,https://europeancoffeetrip.com/cafe/beanandbrew-london/,London,198 High Road,Monday - Friday: 06:30-16:00|Saturday: 08:00-16:00|Sunday: Closed,N22 8HH,,,,,51.59768595,-0.1100712032560684
8,Cafe Smart,https://europeancoffeetrip.com/cafe/cafesmart-ireland/,Belfast,56 Belmont Road,Monday - Friday: 07:45-16:30|Saturday: 07:45-16:30|Sunday: 09:00-16:30,BT4 2AN,,,,,,
9,Hinba Specialty Coffee,https://europeancoffeetrip.com/cafe/hinba-glasgow/,Glasgow,86 Dumbarton Rd,Monday - Friday: 08:00-17:00|Saturday - Sunday: 09:00-17:00,G11 6NX,,,Laptop Friendly,Pet Friendly,55.8705790346026,-4.299900631713384
10,Fringe And Ginge,https://europeancoffeetrip.com/cafe/fringeandginge-canterbury/,Canterbury,72 Northgate,Monday - Friday: 08:00-16:00|Saturday: 08:00-16:00|Sunday: 09:00-16:00,CT1 1BB,,,,,51.2822889,1.083180333526055
